2D-A,2D-B,2D-X,,3D-A,3D-B,3D-X,,Eg
Cs,Ge,Br,,Cs,Ge,Br,,3.466
Cs,Ge,Br,,Cs,Ge,F,,3.461
Cs,Ge,Br,,Cs,Ge,I,,3.442
Cs,Ge,Br,,Cs,Pb,Br,,3.564
Cs,Ge,Br,,Cs,Pb,Cl,,3.548
Cs,Ge,Br,,Cs,Pb,F,,3.366
Cs,Ge,Br,,Cs,Pb,I,,3.302
Cs,Ge,Br,,Cs,Sn,Br,,3.423
Cs,Ge,Br,,Cs,Sn,Cl,,3.321
Cs,Ge,Br,,Cs,Sn,F,,3.326
Cs,Ge,Br,,Cs,Sn,I,,3.286
Cs,Ge,Br,,Li,Pb,Br,,3.106
Cs,Ge,Br,,Li,Pb,F,,1.893
Cs,Ge,Br,,Li,Pb,I,,3.106
Cs,Ge,Br,,Li,Sn,Br,,3.28
Cs,Ge,Br,,Li,Sn,F,,3.25
Cs,Ge,Br,,Na,Pb,Br,,3.258
Cs,Ge,Br,,Na,Pb,I,,3.319
Cs,Ge,Br,,Na,Sn,Br,,3.26
Cs,Ge,Br,,Na,Sn,F,,3.104
Cs,Ge,Br,,Rb,Ge,Br,,3.437
Cs,Ge,Br,,Rb,Ge,F,,3.395
Cs,Ge,Br,,Rb,Pb,Br,,3.539
Cs,Ge,Br,,Rb,Pb,Cl,,3.513
Cs,Ge,Br,,Rb,Pb,F,,3.311
Cs,Ge,Br,,Rb,Pb,I,,3.552
Cs,Ge,Br,,Rb,Sn,Br,,3.297
Cs,Ge,Br,,Rb,Sn,F,,3.248
Cs,Ge,Br,,Rb,Sn,I,,3.512
Cs,Ge,Cl,,Cs,Pb,Br,,3.656
Cs,Ge,Cl,,Cs,Pb,F,,3.677
Cs,Ge,Cl,,Cs,Pb,I,,3.482
Cs,Ge,Cl,,Cs,Sn,Br,,3.559
Cs,Ge,Cl,,Cs,Sn,F,,3.569
Cs,Ge,Cl,,Rb,Pb,Br,,3.636
Cs,Ge,Cl,,Rb,Pb,F,,3.445
Cs,Ge,Cl,,Rb,Sn,Br,,3.616
Cs,Ge,Cl,,Rb,Sn,F,,3.491
Cs,Ge,F,,Cs,Pb,Br,,3.104
Cs,Ge,F,,Cs,Pb,F,,3.164
Cs,Ge,F,,Cs,Pb,I,,2.799
Cs,Ge,F,,Cs,Sn,Br,,3.65
Cs,Ge,F,,Cs,Sn,F,,3.664
Cs,Ge,F,,Rb,Pb,Br,,2.866
Cs,Ge,F,,Rb,Pb,F,,3.107
Cs,Ge,F,,Rb,Sn,Br,,3.594
Cs,Ge,F,,Rb,Sn,F,,3.628
Cs,Ge,I,,Cs,Pb,Br,,3.311
Cs,Ge,I,,Cs,Pb,F,,3.126
Cs,Ge,I,,Cs,Pb,I,,3.092
Cs,Ge,I,,Cs,Sn,Br,,3.141
Cs,Ge,I,,Cs,Sn,F,,3.103
Cs,Ge,I,,Rb,Pb,Br,,3.295
Cs,Ge,I,,Rb,Pb,F,,3.058
Cs,Ge,I,,Rb,Sn,Br,,3.094
Cs,Ge,I,,Rb,Sn,F,,3.044
Cs,Pb,Br,,Cs,Ge,Br,,3.37
Cs,Pb,Br,,Cs,Ge,F,,3.417
Cs,Pb,Br,,Cs,Ge,I,,3.344
Cs,Pb,Br,,Cs,Pb,Br,,3.58
Cs,Pb,Br,,Cs,Pb,Cl,,3.405
Cs,Pb,Br,,Cs,Pb,F,,3.046
Cs,Pb,Br,,Cs,Pb,I,,3.385
Cs,Pb,Br,,Cs,Sn,Br,,3.402
Cs,Pb,Br,,Cs,Sn,Cl,,3.373
Cs,Pb,Br,,Cs,Sn,F,,3.01
Cs,Pb,Br,,Cs,Sn,I,,3.335
Cs,Pb,Br,,K,Pb,Br,,3.561
Cs,Pb,Br,,K,Pb,F,,2.955
Cs,Pb,Br,,K,Pb,I,,3.628
Cs,Pb,Br,,K,Sn,Br,,3.344
Cs,Pb,Br,,K,Sn,F,,3.033
Cs,Pb,Br,,Li,Pb,Br,,1.754
Cs,Pb,Br,,Li,Pb,F,,1.563
Cs,Pb,Br,,Li,Pb,I,,1.823
Cs,Pb,Br,,Li,Sn,Br,,3.191
Cs,Pb,Br,,Li,Sn,F,,3.126
Cs,Pb,Br,,Na,Pb,Br,,2.858
Cs,Pb,Br,,Na,Pb,F,,2.057
Cs,Pb,Br,,Na,Pb,I,,3.28
Cs,Pb,Br,,Na,Sn,Br,,3.171
Cs,Pb,Br,,Na,Sn,F,,2.926
Cs,Pb,Br,,Rb,Ge,Br,,3.34
Cs,Pb,Br,,Rb,Ge,F,,3.336
Cs,Pb,Br,,Rb,Pb,Br,,3.558
Cs,Pb,Br,,Rb,Pb,Cl,,3.178
Cs,Pb,Br,,Rb,Pb,F,,2.954
Cs,Pb,Br,,Rb,Pb,I,,3.621
Cs,Pb,Br,,Rb,Sn,Br,,3.378
Cs,Pb,Br,,Rb,Sn,Cl,,3.345
Cs,Pb,Br,,Rb,Sn,F,,3.105
Cs,Pb,Br,,Rb,Sn,I,,3.473
Cs,Pb,Cl,,Cs,Pb,Br,,3.607
Cs,Pb,Cl,,Cs,Pb,F,,3.168
Cs,Pb,Cl,,Cs,Pb,I,,3.471
Cs,Pb,Cl,,Cs,Sn,Br,,3.623
Cs,Pb,Cl,,Cs,Sn,F,,3.276
Cs,Pb,Cl,,Rb,Pb,Br,,3.588
Cs,Pb,Cl,,Rb,Pb,F,,2.838
Cs,Pb,Cl,,Rb,Sn,Br,,3.591
Cs,Pb,Cl,,Rb,Sn,F,,3.186
Cs,Pb,F,,Cs,Pb,Br,,3.562
Cs,Pb,F,,Cs,Pb,F,,3.184
Cs,Pb,F,,Cs,Pb,I,,3.399
Cs,Pb,F,,Cs,Sn,Br,,3.705
Cs,Pb,F,,Cs,Sn,F,,3.635
Cs,Pb,F,,Rb,Pb,Br,,3.283
Cs,Pb,F,,Rb,Pb,F,,3.136
Cs,Pb,F,,Rb,Sn,Br,,3.605
Cs,Pb,F,,Rb,Sn,F,,3.406
Cs,Pb,I,,Cs,Pb,Br,,3.19
Cs,Pb,I,,Cs,Pb,F,,3.001
Cs,Pb,I,,Cs,Pb,I,,3.176
Cs,Pb,I,,Cs,Sn,Br,,3.163
Cs,Pb,I,,Cs,Sn,F,,3.112
Cs,Pb,I,,Rb,Pb,Br,,3.193
Cs,Pb,I,,Rb,Pb,F,,2.936
Cs,Pb,I,,Rb,Sn,Br,,3.146
Cs,Pb,I,,Rb,Sn,F,,3.05
Cs,Sn,Br,,Cs,Pb,Br,,3.469
Cs,Sn,Br,,Cs,Pb,F,,3.35
Cs,Sn,Br,,Cs,Pb,I,,3.497
Cs,Sn,Br,,Cs,Sn,Br,,3.352
Cs,Sn,Br,,Cs,Sn,F,,3.412
Cs,Sn,Br,,Rb,Pb,Br,,3.273
Cs,Sn,Br,,Rb,Pb,F,,3.276
Cs,Sn,Br,,Rb,Sn,Br,,3.306
Cs,Sn,Br,,Rb,Sn,F,,2.954
K,Ge,Br,,Cs,Pb,Br,,3.528
K,Ge,Br,,Cs,Pb,F,,3.473
K,Ge,Br,,Cs,Pb,I,,3.294
K,Ge,Br,,Cs,Sn,Br,,3.352
K,Ge,Br,,Cs,Sn,F,,3.377
K,Ge,Br,,Rb,Pb,Br,,3.506
K,Ge,Br,,Rb,Pb,F,,2.695
K,Ge,Br,,Rb,Sn,Br,,3.312
K,Ge,Br,,Rb,Sn,F,,3.203
K,Pb,Br,,Cs,Pb,Br,,3.003
K,Pb,Br,,Cs,Pb,F,,2.66
K,Pb,Br,,Cs,Pb,I,,3.153
K,Pb,Br,,Cs,Sn,Br,,3.18
K,Pb,Br,,Cs,Sn,F,,2.766
K,Pb,Br,,Rb,Pb,Br,,2.355
K,Pb,Br,,Rb,Pb,F,,2.133
K,Pb,Br,,Rb,Sn,Br,,2.748
K,Pb,Br,,Rb,Sn,F,,2.467
Li,Ge,Br,,Cs,Pb,Br,,3.441
Li,Ge,Br,,Cs,Pb,F,,2.907
Li,Ge,Br,,Cs,Pb,I,,3.176
Li,Ge,Br,,Cs,Sn,Br,,2.95
Li,Ge,Br,,Cs,Sn,F,,3.209
Li,Ge,Br,,Rb,Pb,Br,,3.393
Li,Ge,Br,,Rb,Pb,F,,2.384
Li,Ge,Br,,Rb,Sn,Br,,2.586
Li,Ge,Br,,Rb,Sn,F,,2.997
Li,Pb,Br,,Cs,Pb,Br,,1.852
Li,Pb,Br,,Cs,Pb,F,,2.106
Li,Pb,Br,,Cs,Pb,I,,1.867
Li,Pb,Br,,Cs,Sn,Br,,2.328
Li,Pb,Br,,Rb,Pb,F,,1.994
Li,Pb,Br,,Rb,Sn,Br,,1.952
Li,Pb,Br,,Rb,Sn,F,,2.327
Na,Ge,Br,,Cs,Pb,Br,,3.406
Na,Ge,Br,,Cs,Pb,F,,3.516
Na,Ge,Br,,Cs,Sn,Br,,3.268
Na,Ge,Br,,Cs,Sn,F,,3.147
Na,Ge,Br,,Rb,Pb,Br,,3.363
Na,Ge,Br,,Rb,Pb,F,,2.384
Na,Ge,Br,,Rb,Sn,Br,,2.878
Na,Ge,Br,,Rb,Sn,F,,2.865
Na,Pb,Br,,Cs,Pb,Br,,3.253
Na,Pb,Br,,Cs,Pb,F,,2.196
Na,Pb,Br,,Cs,Pb,I,,3.263
Na,Pb,Br,,Cs,Sn,Br,,2.749
Na,Pb,Br,,Cs,Sn,F,,2.543
Na,Pb,Br,,Rb,Pb,Br,,3.225
Na,Pb,Br,,Rb,Pb,F,,1.927
Na,Pb,Br,,Rb,Sn,Br,,2.47
Na,Pb,Br,,Rb,Sn,F,,2.298
Na,Pb,Br,,Rb,Sn,I,,2.477
Rb,Ge,Br,,Cs,Pb,Br,,3.517
Rb,Ge,Br,,Cs,Pb,F,,3.467
Rb,Ge,Br,,Cs,Sn,Br,,3.3
Rb,Ge,Br,,Cs,Sn,F,,3.374
Rb,Ge,Br,,Cs,Sn,I,,3.056
Rb,Ge,Br,,Rb,Pb,Br,,3.374
Rb,Ge,Br,,Rb,Pb,F,,2.756
Rb,Ge,Br,,Rb,Sn,Br,,3.309
Rb,Ge,Br,,Rb,Sn,F,,3.289
Rb,Ge,Br,,Rb,Sn,I,,3.451
Rb,Pb,Br,,Cs,Pb,Br,,3.028
Rb,Pb,Br,,Cs,Pb,F,,2.85
Rb,Pb,Br,,Cs,Pb,I,,2.916
Rb,Pb,Br,,Cs,Sn,Br,,3.193
Rb,Pb,Br,,Cs,Sn,F,,3.172
Rb,Pb,Br,,Cs,Sn,I,,3.178
Rb,Pb,Br,,Rb,Pb,Br,,2.381
Rb,Pb,Br,,Rb,Pb,F,,2.165
Rb,Pb,Br,,Rb,Sn,Br,,3.172
Rb,Pb,Br,,Rb,Sn,F,,2.523
Rb,Pb,Br,,Rb,Sn,I,,2.766
