,Unnamed: 0,2D-A,2D-B,2D-X,3D-A,3D-B,3D-X,2D-A NumberofProtons,2D-A NumberofNeutrons,2D-A NumberofShells,2D-A SpecificHeat,2D-A Density,2D-A Ion Radius,2D-A FirstIonization,2D-A AtomicMass,2D-A MeltingPoint,2D-B NumberofProtons,2D-B NumberofNeutrons,2D-B NumberofShells,2D-B SpecificHeat,2D-B Density,2D-B Ion Radius,2D-B FirstIonization,2D-B AtomicMass,2D-B MeltingPoint,2D-X NumberofProtons,2D-X NumberofNeutrons,2D-X NumberofShells,2D-X SpecificHeat,2D-X Density,2D-X Ion Radius,2D-X FirstIonization,2D-X AtomicMass,2D-X MeltingPoint,3D-A NumberofProtons,3D-A NumberofNeutrons,3D-A NumberofShells,3D-A SpecificHeat,3D-A Density,3D-A Ion Radius,3D-A FirstIonization,3D-A AtomicMass,3D-A MeltingPoint,3D-B NumberofProtons,3D-B NumberofNeutrons,3D-B NumberofShells,3D-B SpecificHeat,3D-B Density,3D-B Ion Radius,3D-B FirstIonization,3D-B AtomicMass,3D-B MeltingPoint,3D-X NumberofProtons,3D-X NumberofNeutrons,3D-X NumberofShells,3D-X SpecificHeat,3D-X Density,3D-X Ion Radius,3D-X FirstIonization,3D-X AtomicMass,3D-X MeltingPoint
99,99,Cs,Pb,Cl,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
100,100,Cs,Pb,Cl,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,17.0,18.0,3.0,0.479,0.00321,181.0,12.9676,35.453,172.31,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
101,101,Cs,Pb,F,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
102,102,Cs,Pb,F,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
103,103,Cs,Pb,F,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
104,104,Cs,Pb,F,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
105,105,Cs,Pb,F,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
106,106,Cs,Pb,F,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
107,107,Cs,Pb,F,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
108,108,Cs,Pb,F,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
109,109,Cs,Pb,F,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
110,110,Cs,Pb,I,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
111,111,Cs,Pb,I,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
112,112,Cs,Pb,I,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
113,113,Cs,Pb,I,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
114,114,Cs,Pb,I,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
115,115,Cs,Pb,I,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
116,116,Cs,Pb,I,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
117,117,Cs,Pb,I,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
118,118,Cs,Pb,I,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
119,119,Cs,Sn,Br,Cs,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
120,120,Cs,Sn,Br,Cs,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
121,121,Cs,Sn,Br,Cs,Pb,I,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
122,122,Cs,Sn,Br,Cs,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
123,123,Cs,Sn,Br,Cs,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
124,124,Cs,Sn,Br,Rb,Pb,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
125,125,Cs,Sn,Br,Rb,Pb,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
126,126,Cs,Sn,Br,Rb,Sn,Br,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
127,127,Cs,Sn,Br,Rb,Sn,F,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
128,128,K,Ge,Br,Cs,Pb,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
129,129,K,Ge,Br,Cs,Pb,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
130,130,K,Ge,Br,Cs,Pb,I,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
131,131,K,Ge,Br,Cs,Sn,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
132,132,K,Ge,Br,Cs,Sn,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
133,133,K,Ge,Br,Rb,Pb,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
134,134,K,Ge,Br,Rb,Pb,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
135,135,K,Ge,Br,Rb,Sn,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
136,136,K,Ge,Br,Rb,Sn,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
137,137,K,Pb,Br,Cs,Pb,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
138,138,K,Pb,Br,Cs,Pb,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
139,139,K,Pb,Br,Cs,Pb,I,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
140,140,K,Pb,Br,Cs,Sn,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
141,141,K,Pb,Br,Cs,Sn,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
142,142,K,Pb,Br,Rb,Pb,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
143,143,K,Pb,Br,Rb,Pb,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
144,144,K,Pb,Br,Rb,Sn,Br,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
145,145,K,Pb,Br,Rb,Sn,F,19.0,20.0,4.0,0.757,0.862,138.0,4.3407,39.098,336.5,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,37.0,48.0,5.0,0.363,1.53,152.0,4.1771,85.468,312.79,50.0,69.0,5.0,0.228,7.29,69.0,7.3439,118.71,505.21,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
146,146,Li,Ge,Br,Cs,Pb,Br,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05
147,147,Li,Ge,Br,Cs,Pb,F,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,9.0,10.0,2.0,0.824,0.0017,133.0,17.4228,18.998,53.63
148,148,Li,Ge,Br,Cs,Pb,I,3.0,4.0,2.0,3.582,0.534,76.0,5.3917,6.941,453.85,32.0,41.0,4.0,0.32,5.32,53.0,7.8994,72.64,1211.45,35.0,45.0,4.0,0.474,3.12,196.0,11.8138,79.904,266.05,55.0,78.0,6.0,0.242,1.87,167.0,3.8939,132.905,301.7,82.0,125.0,6.0,0.129,11.3,119.0,7.4167,207.2,600.75,53.0,74.0,5.0,0.214,4.93,220.0,10.4513,126.904,386.65
